market,feature_time,hour,day_of_week,avg_rate,weighted_avg_rate,min_rate,max_rate,total_amount,avg_period,offer_count,demand_count,rate_spread,previous_weighted_avg_rate,rate_change,amount_change,target_next_weighted_avg_rate
fBTC,2026-07-27T11:37:09.564802+00:00,11,0,3.655572165073567e-08,3.8712303028415127e-08,1e-08,4.09e-08,1047.26142996,20.296296296296298,308,2,3.0900000000000005e-08,3.890957741808237e-08,-1.9727438966724343e-10,-104.22318275999987,3.8751660593887906e-08
fBTC,2026-07-27T15:11:31.709036+00:00,15,0,3.711519634703196e-08,3.8751660593887906e-08,1e-08,4.09e-08,1047.09218993,20.51851851851852,331,2,3.0900000000000005e-08,3.8712303028415127e-08,3.935756547277918e-11,-0.1692400300000827,3.875445695620218e-08
fBTC,2026-07-27T17:06:26.797763+00:00,17,0,3.655419708777271e-08,3.875445695620218e-08,1e-08,4.09e-08,1038.22479196,20.22222222222222,309,2,3.0900000000000005e-08,3.8751660593887906e-08,2.796362314271389e-12,-8.867397969999956,3.8757712760082987e-08
fBTC,2026-07-27T18:45:40.185929+00:00,18,0,3.643896716184678e-08,3.8757712760082987e-08,1e-08,4.06e-08,1029.2738903,20.51851851851852,316,2,3.0599999999999996e-08,3.875445695620218e-08,3.2558038808094047e-12,-8.95090166,3.875061259201886e-08
fBTC,2026-07-27T20:41:57.556139+00:00,20,0,3.539327042110604e-08,3.875061259201886e-08,1e-08,4.09e-08,1017.72211574,21.74074074074074,302,2,3.0900000000000005e-08,3.8757712760082987e-08,-7.100168064128366e-12,-11.551774559999899,3.875279934216017e-08
fBTC,2026-07-27T22:16:53.361988+00:00,22,0,3.539664511740233e-08,3.875279934216017e-08,1e-08,4.06e-08,1016.20265565,20.703703703703702,299,2,3.0599999999999996e-08,3.875061259201886e-08,2.1867501413136413e-12,-1.5194600900000523,3.8553733047376075e-08
fBTC,2026-07-27T23:28:22.773461+00:00,23,0,3.4923232554439374e-08,3.8553733047376075e-08,1e-08,4.02e-08,914.1848463700001,20.88888888888889,306,2,3.0200000000000006e-08,3.875279934216017e-08,-1.9906629478409713e-10,-102.01780927999994,3.856801066970133e-08
fBTC,2026-07-28T03:32:47.292226+00:00,3,1,3.631222126555048e-08,3.856801066970133e-08,1e-08,4.01e-08,931.22210242,20.444444444444443,318,2,3.01e-08,3.8553733047376075e-08,1.4277622325252495e-11,17.037256049999996,3.8565818823982253e-08
fBTC,2026-07-28T06:38:52.058379+00:00,6,1,3.528123083592085e-08,3.8565818823982253e-08,1e-08,4e-08,935.85753967,20.925925925925927,281,2,3.0000000000000004e-08,3.856801066970133e-08,-2.191845719073709e-12,4.635437249999995,3.83298518806921e-08
fBTC,2026-07-28T09:46:29.995588+00:00,9,1,3.6218393591476414e-08,3.83298518806921e-08,1e-08,3.94e-08,1089.30974303,20.14814814814815,334,2,2.9400000000000002e-08,3.8565818823982253e-08,-2.359669432901539e-10,153.45220335999988,3.823359595948804e-08
fBTC,2026-07-28T12:11:48.846034+00:00,12,1,3.596414544454591e-08,3.823359595948804e-08,1e-08,3.835616438356165e-08,981.1593131,20.925925925925927,316,2,2.8356164383561647e-08,3.83298518806921e-08,-9.625592120405719e-11,-108.15042992999997,
fETH,2026-07-21T14:26:37.844159+00:00,14,1,1.165135491633298e-05,1.9572359630263667e-05,2e-07,1.975890410958904e-05,3337.58023226,4.423076923076923,138,2,1.955890410958904e-05,,,,1.9818789748657576e-05
fETH,2026-07-21T14:30:51.146084+00:00,14,1,1.7817303161222338e-05,1.9818789748657576e-05,2e-07,2.1e-05,5099.1120998999995,20.307692307692307,159,2,2.0799999999999997e-05,1.9572359630263667e-05,2.464301183939085e-07,1761.5318676399997,1.910599919209486e-05
fETH,2026-07-21T16:40:48.486530+00:00,16,1,1.8762750842992623e-05,1.910599919209486e-05,2e-07,2.47e-05,5208.42621356,25.692307692307693,172,2,2.45e-05,1.9818789748657576e-05,-7.127905565627173e-07,109.31411366000066,1.907597552359122e-05
fETH,2026-07-21T18:39:20.169774+00:00,18,1,1.8741850895679663e-05,1.907597552359122e-05,2e-07,2.3e-05,5286.41521922,30.03846153846154,179,2,2.28e-05,1.910599919209486e-05,-3.002366850363776e-08,77.98900565999975,1.9085267969314515e-05
fETH,2026-07-21T20:35:06.953287+00:00,20,1,1.916712328767123e-05,1.9085267969314515e-05,2e-07,2.47e-05,5344.6142009,29.53846153846154,179,2,2.45e-05,1.907597552359122e-05,9.292445723293796e-09,58.19898167999963,1.9026048542856567e-05
fETH,2026-07-21T22:11:29.958326+00:00,22,1,1.6765684931506853e-05,1.9026048542856567e-05,2e-07,2e-05,5569.62267444,20.692307692307693,182,2,1.98e-05,1.9085267969314515e-05,-5.921942645794768e-08,225.00847354000052,1.901892031451993e-05
fETH,2026-07-21T23:10:28.934679+00:00,23,1,1.6761575342465755e-05,1.901892031451993e-05,2e-07,2e-05,5579.73194161,20.692307692307693,184,2,1.98e-05,1.9026048542856567e-05,-7.128228336635261e-09,10.109267169999839,1.9029430716453457e-05
fETH,2026-07-22T00:04:45.877740+00:00,0,2,1.9132876712328764e-05,1.9029430716453457e-05,2e-07,2.47e-05,5443.56363694,29.53846153846154,184,2,2.45e-05,1.901892031451993e-05,1.051040193352526e-08,-136.16830467,1.859660827845947e-05
fETH,2026-07-22T03:43:28.969630+00:00,3,2,1.8014567966280294e-05,1.859660827845947e-05,2e-07,2.1e-05,5651.96878091,24.846153846153847,188,2,2.0799999999999997e-05,1.9029430716453457e-05,-4.328224379939884e-07,208.4051439699997,1.8293194480114548e-05
fETH,2026-07-22T06:41:19.044288+00:00,6,2,1.1604621893782928e-05,1.8293194480114548e-05,2e-07,1.8345205479452055e-05,3251.3799363599996,3.1153846153846154,134,2,1.8145205479452053e-05,1.859660827845947e-05,-3.034137983449209e-07,-2400.58884455,6.518609391648837e-06
fETH,2026-07-22T09:37:45.005243+00:00,9,2,6.290226982507903e-06,6.518609391648837e-06,2e-07,9.97712739726027e-06,31.21611736,2.8461538461538463,26,2,9.77712739726027e-06,1.8293194480114548e-05,-1.177458508846571e-05,-3220.1638189999994,1.7666840697962736e-05
fETH,2026-07-22T12:02:30.511904+00:00,12,2,1.3071914169441517e-05,1.7666840697962736e-05,2e-07,1.7687671232876714e-05,6216.33928606,10.653846153846153,189,2,1.7487671232876712e-05,6.518609391648837e-06,1.1148231306313898e-05,6185.1231687,1.3218128363569212e-05
fETH,2026-07-22T14:20:37.497019+00:00,14,2,1.098767583667018e-05,1.3218128363569212e-05,2e-07,1.797e-05,49.58447216,9.423076923076923,26,2,1.7769999999999998e-05,1.7666840697962736e-05,-4.448712334393523e-06,-6166.7548139,1.4222561669851026e-05
fETH,2026-07-22T16:43:20.875669+00:00,16,2,9.71849157007376e-06,1.4222561669851026e-05,2e-07,1.75e-05,85.82678788,2.1923076923076925,27,2,1.7299999999999997e-05,1.3218128363569212e-05,1.0044333062818133e-06,36.24231572,1.741239538143063e-05
fETH,2026-07-22T18:20:48.059087+00:00,18,2,1.3333843316332982e-05,1.741239538143063e-05,2e-07,1.744109589041096e-05,6300.36704733,9.423076923076923,192,2,1.7241095890410958e-05,1.4222561669851026e-05,3.1898337115796055e-06,6214.54025945,1.7557066687144872e-05
fETH,2026-07-22T20:20:21.091781+00:00,20,2,1.6747397260273973e-05,1.7557066687144872e-05,2e-07,1.8e-05,13118.85661157,25.76923076923077,195,2,1.78e-05,1.741239538143063e-05,1.446713057142411e-07,6818.48956424,1.753195273260341e-05
fETH,2026-07-22T22:15:31.336625+00:00,22,2,1.2382677866807165e-05,1.753195273260341e-05,2e-07,1.76e-05,12474.57825289,13.307692307692308,177,2,1.74e-05,1.7557066687144872e-05,-2.5113954541461988e-08,-644.2783586799997,1.749359197567182e-05
